0005, 32071666, 10, 0, 0, 10, 0
0010, 32071677, 21, 0, 0, 21, 0
0015, 32071687, 31, 0, 0, 31, 0
0020, 32071698, 42, 0, 0, 42, 0
0025, 32071710, 54, 0, 0, 54, 0
0030, 32071724, 68, 0, 0, 68, 0
0035, 32071737, 81, 0, 0, 81, 0
0040, 32071751, 95, 0, 0, 95, 0
0045, 32071764, 108, 0, 0, 108, 0
0050, 32071775, 119, 0, 0, 119, 0
0055, 32071785, 129, 0, 0, 129, 0
0100, 32071796, 140, 0, 0, 140, 0
0105, 32071807, 151, 0, 0, 151, 0
0110, 32071817, 161, 0, 0, 161, 0
0115, 32071828, 172, 0, 0, 172, 0
0120, 32071840, 184, 0, 0, 184, 0
0125, 32071854, 198, 0, 0, 198, 0
0130, 32071867, 211, 0, 0, 211, 0
0135, 32071881, 225, 0, 0, 225, 0
0140, 32071894, 238, 0, 0, 238, 0
0145, 32071904, 248, 0, 0, 248, 0
0150, 32071914, 259, 0, 0, 259, 0
0155, 32071925, 269, 0, 0, 269, 0
0200, 32071936, 280, 0, 0, 280, 0
0205, 32071946, 290, 0, 0, 290, 0
0210, 32071957, 301, 0, 0, 301, 0
0215, 32071969, 313, 0, 0, 313, 0
0220, 32071982, 326, 0, 0, 326, 0
0225, 32071996, 340, 0, 0, 340, 0
0230, 32072010, 354, 0, 0, 354, 0
0235, 32072022, 366, 0, 0, 366, 0
0240, 32072032, 376, 0, 0, 376, 0
0245, 32072043, 387, 0, 0, 387, 0
0250, 32072053, 397, 0, 0, 397, 0
0255, 32072064, 408, 0, 0, 408, 0
0300, 32072075, 419, 0, 0, 419, 0
0305, 32072085, 429, 0, 0, 429, 0
0310, 32072098, 442, 0, 0, 442, 0
0315, 32072111, 455, 0, 0, 455, 0
0320, 32072125, 469, 0, 0, 469, 0
0325, 32072139, 483, 0, 0, 483, 0
0330, 32072150, 494, 0, 0, 494, 0
0335, 32072160, 504, 0, 0, 504, 0
0340, 32072171, 515, 0, 0, 515, 0
0345, 32072181, 525, 0, 0, 525, 0
0350, 32072191, 535, 0, 0, 535, 0
0355, 32072201, 545, 0, 0, 545, 0
0400, 32072212, 556, 0, 0, 556, 0
0405, 32072225, 569, 0, 0, 569, 0
0410, 32072238, 582, 0, 0, 582, 0
0415, 32072251, 595, 0, 0, 595, 0
0420, 32072264, 608, 0, 0, 608, 0
0425, 32072275, 619, 0, 0, 619, 0
0430, 32072285, 629, 0, 0, 629, 0
0435, 32072295, 639, 0, 0, 639, 0
0440, 32072305, 649, 0, 0, 649, 0
0445, 32072315, 659, 0, 0, 659, 0
0450, 32072325, 669, 0, 0, 669, 0
0455, 32072337, 681, 0, 0, 681, 0
0500, 32072350, 694, 0, 0, 694, 0
0505, 32072374, 718, 0, 0, 718, 0
0510, 32072401, 745, 0, 0, 745, 0
0515, 32072430, 774, 0, 0, 774, 0
0520, 32072457, 801, 0, 0, 801, 0
0525, 32072483, 827, 0, 0, 827, 0
0530, 32072509, 853, 0, 0, 853, 0
0535, 32072536, 880, 0, 0, 880, 0
0540, 32072555, 899, 0, 0, 899, 0
0545, 32072574, 918, 0, 0, 918, 0
0550, 32072591, 936, 0, 0, 935, 0
0555, 32072608, 952, 0, 0, 952, 0
0600, 32072624, 969, 0, 0, 968, 0
0605, 32072638, 982, 0, 0, 982, 0
0610, 32072649, 994, 0, 0, 993, 0
0615, 32072659, 1004, 1, 0, 1003, 0
0620, 32072668, 1014, 1, 0, 1012, 0
0625, 32072677, 1024, 3, 0, 1021, 0
0630, 32072685, 1034, 5, 0, 1029, 0
0635, 32072692, 1044, 7, 0, 1036, 0
0640, 32072699, 1053, 10, 0, 1043, 0
0645, 32072707, 1065, 13, 0, 1051, 0
0650, 32072715, 1076, 17, 0, 1059, 0
0655, 32072738, 1104, 21, 0, 1082, 0
0700, 32072900, 1271, 27, 0, 1244, 0
0705, 32072904, 1280, 32, 0, 1248, 0
0710, 32072908, 1290, 38, 0, 1252, 0
